meeting_id,case_id,CaseNumber,MeetingType,MeetingDate,Result,Vote
7571,20987,4-UP-2001,City Council Hearing,2001-05-01 00:00:00,APPROVED,7-0 
7572,20941,116-SD-1987,Other,2001-02-08 00:00:00,APPROVED, 
7573,20988,5-UP-2001,Planning Commission Hearing,2001-03-28 00:00:00,CONTINUED, 
7574,20988,5-UP-2001,City Council Hearing,2001-06-05 00:00:00,APPROVED,7-0
7575,20990,3-ZN-2001,Planning Commission Hearing,2001-03-28 00:00:00,CONTINUED, 6-0
7576,20990,3-ZN-2001,City Council Hearing,2001-06-05 00:00:00,APPROVED,7-0
7577,20991,138-SD-1988#2,Other,2001-02-08 00:00:00,APPROVED, 
7578,20911,77-SD-1984,Remote Hearing,2001-02-08 00:00:00,APPROVED, 
7579,20994,12-DR-2001,Development Review Hearing,2001-03-08 00:00:00,CONTINUED, 
7580,20996,13-DR-2001,Development Review Hearing,2001-03-08 00:00:00,APPROVED,6-0
7581,20995,6-UP-2001,Planning Commission Hearing,2001-04-25 00:00:00,CONTINUED, 
7582,20995,6-UP-2001,City Council Hearing,2001-07-03 00:00:00,APPROVED,4-3
7583,20997,74-ZN-1992#9,Planning Commission Hearing,2001-03-28 00:00:00,CONTINUED, 
7584,20997,74-ZN-1992#9,City Council Hearing,2001-06-19 00:00:00,APPROVED,6-0
7585,20992,11-DR-2001,Development Review Hearing,2001-03-08 00:00:00,CONTINUED, 
7586,20458,101-DR-2000,Development Review Hearing,2001-03-08 00:00:00,ON HOLD, 
7587,20764,117-DR-2000,Development Review Hearing,2001-02-22 00:00:00,APPROVED, 7-0
7588,20955,19-SA-2001,Other,2001-02-21 00:00:00,DENIED, 
7589,21003,106-DR-1974#3,Development Review Hearing,2001-03-08 00:00:00,APPROVED,6-0
7591,20965,5-SD-2000,Other,2001-02-12 00:00:00,APPROVED, 
7592,21010,4-ZN-2001,Planning Commission Hearing,2001-03-28 00:00:00,APPROVED, 7-0
